iter	Passed	Remaining
419	2654	3665
420	2659	3657
421	2664	3649
422	2669	3641
423	2675	3634
424	2680	3626
425	2684	3617
426	2689	3609
427	2694	3600
428	2698	3592
429	2704	3584
430	2709	3576
431	2713	3568
432	2718	3560
433	2723	3552
434	2728	3544
435	2733	3535
436	2737	3526
437	2742	3518
438	2747	3510
439	2752	3503
440	2757	3494
441	2761	3486
442	2765	3477
443	2770	3469
444	2774	3460
445	2780	3454
446	2787	3448
447	2793	3442
448	2797	3432
449	2802	3425
450	2808	3418
451	2812	3409
452	2816	3401
453	2821	3393
454	2826	3385
455	2830	3376
456	2834	3368
457	2839	3360
458	2843	3351
459	2848	3343
460	2852	3335
461	2856	3326
462	2861	3318
463	2865	3310
464	2870	3302
465	2874	3293
466	2878	3285
467	2883	3278
468	2888	3270
469	2892	3262
470	2896	3253
471	2901	3245
472	2906	3238
473	2910	3229
474	2915	3221
475	2920	3214
476	2939	3223
477	2943	3214
478	2948	3206
479	2953	3199
480	2957	3191
481	2962	3183
482	2966	3175
483	2971	3167
484	2976	3160
485	2981	3152
486	2986	3145
487	2990	3137
488	2994	3129
489	2998	3121
490	3003	3113
491	3008	3106
492	3012	3098
493	3017	3090
494	3021	3083
495	3026	3075
496	3032	3068
497	3036	3061
498	3041	3053
499	3045	3045
500	3051	3038
501	3056	3031
502	3062	3025
503	3067	3018
504	3072	3011
505	3076	3003
506	3082	2997
507	3088	2990
508	3094	2985
509	3099	2977
510	3103	2970
511	3108	2962
512	3113	2955
513	3117	2948
514	3122	2940
515	3126	2932
516	3130	2924
517	3135	2917
518	3139	2909
519	3143	2902
520	3148	2894
521	3153	2887
522	3161	2883
523	3167	2877
524	3173	2871
525	3178	2864
526	3184	2857
527	3189	2851
528	3194	2844
529	3199	2837
530	3204	2829
531	3209	2823
532	3213	2815
533	3218	2808
534	3222	2801
535	3227	2793
536	3231	2786
537	3235	2778
538	3240	2771
539	3244	2764
540	3249	2757
541	3254	2750
542	3258	2742
543	3263	2735
544	3267	2728
545	3272	2720
546	3276	2713
547	3280	2705
548	3286	2699
549	3291	2693
550	3297	2686
551	3303	2680
552	3307	2673
553	3312	2666
554	3318	2660
555	3322	2653
556	3326	2646
557	3332	2640
558	3339	2634
559	3344	2627
560	3349	2620
561	3354	2613
562	3358	2606
563	3362	2599
564	3367	2592
565	3371	2585
566	3376	2578
567	3380	2570
568	3384	2563
569	3389	2556
570	3394	2550
571	3400	2544
572	3405	2537
573	3411	2531
574	3416	2524
575	3420	2517
576	3424	2510
577	3430	2504
578	3435	2497
579	3440	2491
580	3446	2485
581	3451	2478
582	3457	2472
583	3464	2467
584	3471	2462
585	3477	2456
586	3484	2451
587	3490	2445
588	3495	2438
589	3500	2432
590	3506	2426
591	3511	2420
592	3517	2414
593	3522	2407
594	3528	2401
595	3534	2395
596	3540	2390
597	3550	2386
598	3557	2381
599	3563	2375
600	3570	2370
601	3576	2364
602	3580	2357
603	3585	2351
604	3591	2344
605	3596	2338
606	3602	2332
607	3608	2326
608	3613	2320
609	3619	2313
610	3623	2307
611	3628	2300
612	3633	2293
613	3639	2287
614	3644	2281
615	3649	2275
616	3655	2268
617	3659	2262
618	3664	2255
619	3669	2248
620	3673	2241
621	3678	2235
622	3683	2229
623	3688	2222
624	3693	2216
625	3699	2209
626	3703	2203
627	3708	2196
628	3713	2190
629	3719	2184
630	3723	2177
631	3729	2171
632	3734	2165
633	3739	2158
634	3745	2152
635	3750	2146
636	3755	2140
637	3761	2134
638	3765	2127
639	3770	2120
640	3776	2115
641	3783	2109
642	3788	2103
643	3793	2097
644	3799	2091
645	3805	2085
646	3812	2080
647	3822	2076
648	3835	2074
649	3848	2072
650	3858	2068
651	3869	2065
652	3881	2062
653	3892	2059
654	3905	2056
655	3915	2053
656	3924	2048
657	3931	2043
658	3942	2039
659	3949	2034
660	3957	2029
661	3963	2023
662	3970	2018
663	3977	2012
664	3982	2006
665	3987	1999
666	3994	1994
667	4001	1988
668	4007	1982
669	4012	1976
670	4017	1970
671	4022	1963
672	4027	1957
673	4033	1950
674	4037	1944
675	4042	1937
676	4047	1931
677	4053	1925
678	4059	1919
679	4066	1913
680	4079	1910
681	4090	1907
682	4097	1901
683	4103	1895
684	4109	1889
685	4120	1886
686	4127	1880
687	4137	1876
688	4142	1869
689	4148	1863
690	4152	1857
691	4157	1850
692	4162	1844
693	4166	1837
694	4171	1830
695	4175	1823
696	4180	1817
697	4184	1810
698	4188	1803
699	4193	1797
700	4198	1790
701	4202	1783
702	4206	1777
703	4210	1770
704	4215	1763
705	4219	1757
706	4223	1750
707	4227	1743
708	4232	1737
709	4237	1730
710	4242	1724
711	4247	1717
712	4252	1711
713	4257	1705
714	4261	1698
715	4265	1691
716	4271	1685
717	4275	1679
718	4279	1672
719	4283	1665
720	4288	1659
721	4292	1652
722	4297	1646
723	4303	1640
724	4309	1634
725	4316	1629
726	4322	1623
727	4327	1616
728	4332	1610
729	4336	1603
730	4340	1597
731	4346	1591
732	4351	1584
733	4355	1578
734	4360	1572
735	4364	1565
736	4369	1559
737	4374	1552
738	4378	1546
739	4383	1540
740	4388	1533
741	4392	1527
742	4396	1520
743	4403	1515
744	4408	1508
745	4413	1502
746	4418	1496
747	4422	1490
748	4427	1483
749	4434	1478
750	4440	1472
751	4447	1466
752	4452	1460
753	4458	1454
754	4465	1448
755	4470	1442
756	4477	1437
757	4482	1431
758	4488	1425
759	4494	1419
760	4500	1413
761	4508	1408
762	4515	1402
763	4523	1397
764	4530	1391
765	4538	1386
766	4544	1380
767	4551	1374
768	4559	1369
769	4567	1364
770	4574	1358
771	4581	1353
772	4587	1347
773	4592	1341
774	4597	1334
775	4603	1328
776	4608	1322
777	4612	1316
778	4617	1309
779	4622	1303
780	4627	1297
781	4631	1291
782	4635	1284
783	4640	1278
784	4644	1271
785	4647	1265
786	4652	1259
787	4657	1252
788	4661	1246
789	4665	1240
790	4670	1234
791	4675	1227
792	4679	1221
793	4684	1215
794	4688	1209
795	4693	1202
796	4697	1196
797	4702	1190
798	4706	1184
799	4711	1177
800	4716	1171
801	4720	1165
802	4724	1159
803	4729	1152
804	4733	1146
805	4738	1140
806	4742	1134
807	4746	1127
808	4750	1121
809	4754	1115
810	4759	1109
811	4764	1103
812	4769	1096
813	4774	1090
814	4780	1085
815	4785	1079
816	4790	1073
817	4795	1067
818	4801	1061
819	4807	1055
820	4812	1049
821	4817	1043
822	4822	1037
823	4828	1031
824	4833	1025
825	4839	1019
826	4843	1013
827	4848	1007
828	4853	1001
829	4857	995
830	4862	988
831	4867	982
832	4871	976
833	4876	970
834	4881	964
835	4886	958
836	4892	952
837	4896	946
838	4901	940
839	4906	934
840	4911	928
841	4916	922
842	4921	916
843	4926	910
844	4932	904
845	4937	898
846	4941	892
847	4946	886
848	4950	880
849	4955	874
850	4959	868
851	4963	862
852	4968	856
853	4972	850
854	4976	844
855	4981	837
856	4985	831
857	4989	825
858	4993	819
859	4997	813
860	5002	807
861	5006	801
862	5010	795
863	5015	789
864	5019	783
865	5023	777
866	5028	771
867	5032	765
868	5037	759
869	5042	753
870	5047	747
871	5051	741
872	5056	735
873	5060	729
874	5064	723
875	5068	717
876	5072	711
877	5079	705
878	5084	699
879	5089	694
880	5094	688
881	5101	682
882	5109	677
883	5114	671
884	5118	665
885	5122	659
886	5126	653
887	5131	647
888	5135	641
889	5139	635
890	5144	629
891	5148	623
892	5152	617
893	5156	611
894	5161	605
895	5165	599
896	5170	593
897	5177	588
898	5181	582
899	5185	576
900	5190	570
901	5196	564
902	5201	558
903	5205	552
904	5211	547
905	5215	541
906	5220	535
907	5224	529
908	5228	523
909	5232	517
910	5236	511
911	5241	505
912	5245	499
913	5249	493
914	5253	488
915	5257	482
916	5262	476
917	5266	470
918	5270	464
919	5275	458
920	5280	452
921	5284	447
922	5289	441
923	5292	435
924	5296	429
925	5302	423
926	5307	417
927	5311	412
928	5315	406
929	5320	400
930	5324	394
931	5329	388
932	5334	383
933	5338	377
934	5342	371
935	5346	365
936	5353	359
937	5358	354
938	5366	348
939	5371	342
940	5377	337
941	5382	331
942	5387	325
943	5392	319
944	5398	314
945	5403	308
946	5408	302
947	5413	296
948	5420	291
949	5425	285
950	5431	279
951	5436	274
952	5441	268
953	5447	262
954	5451	256
955	5456	251
956	5464	245
957	5470	239
958	5476	234
959	5480	228
960	5486	222
961	5491	216
962	5496	211
963	5501	205
964	5508	199
965	5514	194
966	5521	188
967	5530	182
968	5537	177
969	5546	171
970	5558	166
971	5565	160
972	5575	154
973	5585	149
974	5603	143
975	5614	138
976	5625	132
977	5632	126
978	5641	121
979	5650	115
980	5659	109
981	5665	103
982	5671	98
983	5676	92
984	5683	86
985	5692	80
986	5700	75
987	5707	69
988	5713	63
989	5734	57
990	5739	52
991	5743	46
992	5747	40
993	5751	34
994	5755	28
995	5759	23
996	5764	17
997	5769	11
998	5774	5
999	5779	0
