iter	RMSE
348	4.340201888
349	4.338852613
350	4.33690745
351	4.335436404
352	4.331754772
353	4.33058437
354	4.329586604
355	4.328215984
356	4.326782819
357	4.324691563
358	4.320626697
359	4.318706426
360	4.315039026
361	4.312684156
362	4.311607913
363	4.309373678
364	4.308245285
365	4.305417405
366	4.30171923
367	4.298402457
368	4.297377439
369	4.296287646
370	4.295131009
371	4.294236035
372	4.293341931
373	4.292421881
374	4.289693975
375	4.287772989
376	4.285943113
377	4.284578178
378	4.282973298
379	4.282107678
380	4.278689288
381	4.275325939
382	4.273943645
383	4.272739549
384	4.271950064
385	4.268858368
386	4.266409095
387	4.265439855
388	4.263895349
389	4.263115807
390	4.262270133
391	4.260022956
392	4.259106804
393	4.257157791
394	4.255531546
395	4.253976591
396	4.252551552
397	4.251456805
398	4.250742571
399	4.249981273
400	4.247648057
401	4.245368978
402	4.244150655
403	4.241400922
404	4.240783545
405	4.240102763
406	4.238218327
407	4.237076794
408	4.235765682
409	4.233705368
410	4.232115585
411	4.230170544
412	4.229140456
413	4.228368201
414	4.226870814
415	4.225145132
416	4.222572461
417	4.221925453
418	4.221092477
419	4.220245791
420	4.21824186
421	4.217052724
422	4.214333652
423	4.212714219
424	4.211660481
425	4.210478535
426	4.209952403
427	4.208140554
428	4.207150448
429	4.206299
430	4.204983117
431	4.202449829
432	4.200952507
433	4.2003538
434	4.19960184
435	4.198622511
436	4.198025582
437	4.197292553
438	4.19584345
439	4.194433033
440	4.193158188
441	4.192096696
442	4.191281885
443	4.189762272
444	4.1884702
445	4.187274423
446	4.185235755
447	4.182901239
448	4.182628383
449	4.180313529
450	4.178626073
451	4.178140711
452	4.17739786
453	4.176352987
454	4.175085711
455	4.174461474
456	4.173354393
457	4.172835261
458	4.171789601
459	4.171379736
460	4.170669124
461	4.170230493
462	4.169244214
463	4.168749917
464	4.16768611
465	4.167254699
466	4.166350907
467	4.165683678
468	4.165292885
469	4.164833962
470	4.164164073
471	4.163168321
472	4.16106421
473	4.160331057
474	4.159057258
475	4.158064254
476	4.156787124
477	4.156429667
478	4.155502309
479	4.154786547
480	4.154345111
481	4.153019257
482	4.152463994
483	4.152026849
484	4.151127599
485	4.150225499
486	4.149359641
487	4.148032969
488	4.147559789
489	4.147034327
490	4.146608779
491	4.146188988
492	4.145118739
493	4.143918953
494	4.142992283
495	4.142449087
496	4.140649351
497	4.139016109
498	4.138667518
499	4.138283009
500	4.13796996
501	4.137524349
502	4.136347913
503	4.134510169
504	4.133853617
505	4.132934572
506	4.132029718
507	4.131587584
508	4.13070333
509	4.130124594
510	4.129507517
511	4.128987204
512	4.128552411
513	4.128035751
514	4.127780215
515	4.12713128
516	4.126753322
517	4.126053321
518	4.125760955
519	4.12521103
520	4.123816814
521	4.122179804
522	4.121828348
523	4.120278935
524	4.119945686
525	4.119239619
526	4.118182186
527	4.117827523
528	4.117537167
529	4.116761776
530	4.115646563
531	4.115223011
532	4.114005389
533	4.113295413
534	4.112974075
535	4.112127488
536	4.11143132
537	4.111094215
538	4.110390601
539	4.110190878
540	4.10928149
541	4.108793704
542	4.10805208
543	4.10699988
544	4.106720806
545	4.106392721
546	4.10617808
547	4.105287886
548	4.105096836
549	4.103902554
550	4.103710597
551	4.10336519
552	4.103077381
553	4.102785935
554	4.101604553
555	4.101349178
556	4.100753599
557	4.100072436
558	4.09945382
559	4.099063933
560	4.098197059
561	4.096744928
562	4.096421213
563	4.096107642
564	4.095350599
565	4.095081853
566	4.094243369
567	4.094043629
568	4.093784687
569	4.092890095
570	4.092096656
571	4.091867607
572	4.090370388
573	4.090125365
574	4.089506866
575	4.089163092
576	4.088970738
577	4.088693241
578	4.0885139
579	4.087883091
580	4.086684752
581	4.086163149
582	4.085446499
583	4.085149246
584	4.084129536
585	4.083933722
586	4.083580219
587	4.082975003
588	4.082751154
589	4.082518918
590	4.081994499
591	4.081362611
592	4.080359958
593	4.079453579
594	4.079197759
595	4.079020471
596	4.077774553
597	4.077087996
598	4.076771792
599	4.07615815
600	4.075577525
601	4.074219918
602	4.074142175
603	4.073836168
604	4.073670551
605	4.073423358
606	4.072561583
607	4.071639299
608	4.07137611
609	4.071120545
610	4.070862207
611	4.070064877
612	4.069894214
613	4.069246379
614	4.068983907
615	4.068751779
616	4.06789711
617	4.067401733
618	4.06651537
619	4.066287975
620	4.066053435
621	4.065628875
622	4.064964543
623	4.064686368
624	4.06452504
625	4.064268166
626	4.064083001
627	4.063939225
628	4.063236619
629	4.063088686
630	4.062896369
631	4.062361342
632	4.06144979
633	4.060156067
634	4.059873581
635	4.05939632
636	4.058319647
637	4.058176427
638	4.057932115
639	4.05760427
640	4.057081029
641	4.056457977
642	4.056226048
643	4.05607046
644	4.055538091
645	4.055401366
646	4.055226813
647	4.054618296
648	4.054459552
649	4.053912842
650	4.053695912
651	4.052795367
652	4.052633185
653	4.052469493
654	4.052315693
655	4.052128415
656	4.05147253
657	4.051290733
658	4.050340515
659	4.050290361
660	4.050054942
661	4.04984749
662	4.049524782
663	4.049004365
664	4.048825047
665	4.048707306
666	4.048553619
667	4.048112787
668	4.047975417
669	4.0477984
670	4.047638944
671	4.047498158
672	4.047359354
673	4.046417684
674	4.046247056
675	4.045252837
676	4.04510545
677	4.044909715
678	4.04470328
679	4.044462821
680	4.044373518
681	4.043941593
682	4.043604708
683	4.043433717
684	4.043267355
685	4.042627679
686	4.042401797
687	4.04194448
688	4.040999849
689	4.040863775
690	4.040657078
691	4.040461365
692	4.039837144
693	4.039727653
694	4.039568241
695	4.039318434
696	4.038589825
697	4.038440262
698	4.038260087
699	4.038120984
700	4.037347124
701	4.037189992
702	4.036952708
703	4.036808719
704	4.036126751
705	4.035824978
706	4.035716325
707	4.035593413
708	4.035437122
709	4.034852455
710	4.034726454
711	4.034575757
712	4.034179653
713	4.034009225
714	4.033798369
715	4.033624302
716	4.033435937
717	4.033294414
718	4.033175285
719	4.033050301
720	4.03246347
721	4.032178332
722	4.03188289
723	4.031678979
724	4.031559359
725	4.030899274
726	4.03079656
727	4.030683614
728	4.03046443
729	4.030306753
730	4.03018882
731	4.02962533
732	4.029394785
733	4.028750343
734	4.028568905
735	4.028460248
736	4.027567996
737	4.027472838
738	4.026991135
739	4.026783762
740	4.026601353
741	4.026437635
742	4.026355835
743	4.025721508
744	4.025599844
745	4.0254861
746	4.0253385
747	4.025174884
748	4.02510361
749	4.024622491
750	4.024453975
751	4.024332091
752	4.024187874
753	4.023798362
754	4.023646665
755	4.023536555
756	4.022720641
757	4.022570218
758	4.022103358
759	4.021908909
760	4.02146879
761	4.021388137
762	4.021236701
763	4.021171008
764	4.021037661
765	4.020557333
766	4.020372866
767	4.020248711
768	4.020162357
769	4.019985013
770	4.019854304
771	4.019680682
772	4.019056989
773	4.018940542
774	4.018853977
775	4.018429398
776	4.018145504
777	4.018019191
778	4.017871472
779	4.017632432
780	4.017405909
781	4.017307271
782	4.017178441
783	4.016745664
784	4.016360611
785	4.01624318
786	4.015393425
787	4.015288916
788	4.015140444
789	4.014996205
790	4.014563318
791	4.014459384
792	4.014146504
793	4.014062809
794	4.013901362
795	4.013722345
796	4.01355586
797	4.013437226
798	4.012470369
799	4.012024716
800	4.011929664
801	4.011798348
802	4.011726332
803	4.011608091
804	4.011264047
805	4.010426758
806	4.010373953
807	4.01013961
808	4.009647228
809	4.009523319
810	4.009398749
811	4.009011157
812	4.008881806
813	4.00874671
814	4.008584184
815	4.008405643
816	4.008265945
817	4.008172305
818	4.008053037
819	4.007935026
820	4.007802038
821	4.007255688
822	4.007165355
823	4.007076082
824	4.006846225
825	4.006706087
826	4.006595044
827	4.006119919
828	4.005309418
829	4.005189315
830	4.0050498
831	4.004922272
832	4.004831059
833	4.004667093
834	4.004591793
835	4.004487239
836	4.003702381
837	4.003654187
838	4.002895368
839	4.002753094
840	4.002652464
841	4.002512407
842	4.002351801
843	4.002253695
844	4.002191326
845	4.002039183
846	4.001931755
847	4.001804638
848	4.001697951
849	4.001176209
850	4.00105662
851	4.000962772
852	4.000619223
853	4.000461355
854	4.00035255
855	4.000143855
856	3.999980692
857	3.999765252
858	3.99965457
859	3.999543312
860	3.999108946
861	3.998993545
862	3.998928376
863	3.998241292
864	3.998145735
865	3.997819068
866	3.997757536
867	3.997621946
868	3.997512873
869	3.99741111
870	3.997340801
871	3.996896713
872	3.996587198
873	3.996490205
874	3.995981965
875	3.995838376
876	3.995600818
877	3.9955001
878	3.995116893
879	3.995028676
880	3.994800643
881	3.994564211
882	3.994276516
883	3.994077707
884	3.993964811
885	3.993824822
886	3.993720375
887	3.992948808
888	3.992650992
889	3.992507337
890	3.992375674
891	3.992233947
892	3.992165715
893	3.992076326
894	3.991920385
895	3.991522678
896	3.991060766
897	3.990632365
898	3.990544568
899	3.990488321
900	3.990067702
901	3.989665973
902	3.989579478
903	3.989363491
904	3.988707418
905	3.988275931
906	3.988145255
907	3.988058017
908	3.987970046
909	3.987887829
910	3.987823655
911	3.987732008
912	3.987627194
913	3.987567297
914	3.987452246
915	3.987371266
916	3.987043295
917	3.986956507
918	3.986860127
919	3.986408423
920	3.986075507
921	3.985953266
922	3.985604169
923	3.985524473
924	3.985435318
925	3.985292412
926	3.985186875
927	3.984592753
928	3.9844827
929	3.984365948
930	3.984209292
931	3.984106324
932	3.984050319
933	3.983989349
934	3.98388667
935	3.983804609
936	3.983517945
937	3.983429833
938	3.983232684
939	3.983142682
940	3.98307417
941	3.982986233
942	3.982914255
943	3.982623226
944	3.982532308
945	3.982378679
946	3.982273671
947	3.982213836
948	3.982082433
949	3.981969035
950	3.981879091
951	3.981803427
952	3.981700661
953	3.981607277
954	3.981534424
955	3.981429161
956	3.981207916
957	3.981136057
958	3.981009775
959	3.980919159
960	3.980804173
961	3.980746499
962	3.980614423
963	3.980510151
964	3.980438254
965	3.980343275
966	3.98029371
967	3.980205151
968	3.980068969
969	3.979997534
970	3.97947873
971	3.979390252
972	3.978793801
973	3.978484829
974	3.978406341
975	3.97828654
976	3.978222809
977	3.978116982
978	3.978053912
979	3.977765611
980	3.977681631
981	3.977320051
982	3.977235183
983	3.977141312
984	3.977026655
985	3.976767956
986	3.97660885
987	3.976530897
988	3.9763609
989	3.976230217
990	3.976164896
991	3.976080854
992	3.975828034
993	3.97578615
994	3.975697371
995	3.975618964
996	3.975488054
997	3.97542749
998	3.97528757
999	3.975180355
